Название,Местоположение,Улица,Юридическое лицо,Адрес сайта,ИНН,На карте
Зеленогорский парк культуры и отдыха,Курортный район,"г. Зеленогорск, Приморское ш., 536а",Санкт-Петербургское государственное бюджетное учреждение культуры «Зеленогорский парк культуры и отдыха»,,,[object Object]
Парк культуры и отдыха города Холмска,Холмск,ул. Морская,Муниципальное бюджетное учреждение культуры «Парк культуры и отдыха города Холмска»,,6509021029,[object Object]
Славгородский городской парк культуры и отдыха,Славгород,"ул. К. Либкнехта, 169а",Муниципальное бюджетное учреждение культуры «Городской Дом культуры города Славгорода»,,2210007662,[object Object]
Финно-угорский этнопарк,Сыктывдинский район,"с. Ыб, местечко Сёрд, 19/1",ГАУ РК «Финно-угорский этнопарк»,http://www.ethnopark-rk.ru,1101486830,[object Object]
Городской парк культуры и отдыха,Гулькевичский район,"г. Гулькевичи, ул. Ленинградская, 1/3",Муниципальное бюджетное учреждение культуры Городской парк культуры и отдыха Гулькевичского городского поселения Гулькевичского района,,,[object Object]
Парк культуры и отдыха г. Снежинска,Снежинск,"ул. Комсомольская, 1",Парк культуры и отдыха г. Снежинск ,,7423010690,[object Object]
Парк культуры и отдыха г. Серпухова,Городской округ город Серпухов,"ул. Луначарского, 74","Муниципальное учереждение культуры ""Парк культуры""",http://www.serp-park.ru/,5043023322,[object Object]
Городской парк г. Кашира,Городской округ Кашира,ул. Гвардейская,МАУК «Городской парк»,http://kashira-park.ru/,5019025103,[object Object]
Константиновский городской сквер,Константиновский район," г. Константиновск, ул. 25 Октября",МБУК «Константиновский районный дом культуры»,,6116008610,[object Object]
Парк семейного отдыха г. Дубны,Городской округ город Дубна,"пр. Боголюбова, 24а",МАУ «Городские парки»,,5010037873,[object Object]
Парк «Садовники»,Москва,"пр-т Андропова, 58а",ГАУК г. Москвы «Парк культуры и отдыха «Кузьминки»,http://www.sadovniki.park-kuzminki.ru,,[object Object]
Парк «Петровский»,Москва,"пр-т Ленинградский, 40",ГАУК «Лианозовский парк культуры и отдыха»,,,[object Object]
Куркинский парк культуры и отдыха,Куркинский район,"пос. Куркино, ул. Парковая",МКУК «Куркинский районный центр культуры»,,7129027178,[object Object]
Парк 200-летия Череповца,Череповец,"ул. Леднева, 2",МБУК «Городской культурно-досуговый центр «Единение»,,3528067753,[object Object]
Парк культуры и отдыха г. Череповца,Череповец,"ул. М. Горького, 2",МБУК «Городской культурно-досуговый центр «Единение»,,3528067753,[object Object]
Парк имени Ленинского комсомола,Череповец,"ул. М. Горького, 49а",МБУК «Городской культурно-досуговый центр «Единение»,,3528067753,[object Object]
Парк культуры и отдыха города Горячего Ключа,Горячий Ключ,"ул. Октябрьская, 131",МБУ «Парк культуры и отдыха»,,2305020830,[object Object]
Детский парк «Бегемот»,Лангепас,"ул. Парковая, 20",ЛГ МАУ «Центр культуры «Нефтяник»,http://www.kultura-langepasa.ru/8%20Begemot.htm,,[object Object]
Парк культуры и отдыха,Уфа,"ул. Жукова, 31",Муниципальное унитарное предприятие «УФАПАРК» г. Уфа РБ,,0276154294,[object Object]
Острогожский городской парк культуры и отдыха,Острогожский район,"г. Острогожск, ул. Карла Маркса, 11а",МБУ «Дом культуры ОМР»,,,[object Object]
Центральный парк культуры и отдыха «Лопатинский сад» города Смоленска,Смоленск,"ул. Ленина, 2а",МБУК «Центральный парк культуры и отдыха «Лопатинский сад» г. Смоленска,http://лопатинскийсад.рф,6730049842,[object Object]
Александровский городской парк культуры и отдыха имени 200-летия г. Александрова,Александровский район,"г. Александров, ул. Советская, 12 ",МБУК  «Александровский городской парк культуры и отдыха им. 200-летия г. Александрова»,,3301004692,[object Object]
Чебоксарский городской детский парк имени космонавта А. Г. Николаева,Чебоксары,"ул. Николаева, 6а",МАУК «Чебоксарский городской детский парк им. космонавта А. Г. Николаева»,,2128039661,[object Object]
Мемориальный комплекс «Победа»,Чебоксары,"ул. Зои Яковлевой, 54а",МБУК  Мемориальный комплекс «Победа»,,2127325451,[object Object]
Парк им. Октября,Ростов-на-Дону,"ул. Дачная, 4",МБУ Парк КиО им. Октября,,6165008242,[object Object]
Парк им. М. Горького,Ростов-на-Дону,"ул. Большая Садовая, 45",МУП «ГКДЦ Парк им. М. Горького»,,6164244381,[object Object]
Парк Победы,Волгодонск,"ул. Горького, 77б",МАУК МО «Город Волгодонск» «Парк Победы»,http://pobedavlgd.ru,6143020126,[object Object]
Городской парк культуры и отдыха г. Белогорска,Городской округ город Белогорск,"ул. Набережная, 166",Муниципальное автономное учреждение «Объединенная дирекция городских парков культуры и отдыха» г. Белогорск,,2804003132,[object Object]
Парк культуры и отдыха «Шерстяник»,Невинномысск,"ул. Маяковского, 20",Муниципальное бюджетное учреждение культуры «Дом культуры «Шерстяник» города Невинномысска,,2631018733,[object Object]
Ногинский городской парк культуры и отдыха,Ногинский район,"г. Ногинск, ул. Леснова, 2",МАУ «Городской парк культуры и отдыха» муниципального образования г. Ногинск Московской области,,5031108998,[object Object]
Ялуторовский городской сад,Ялуторовск,"ул. Ленина, 19а",МАУК г. Ялуторовска «Арт-Вояж»,,,[object Object]
Городской парк «Скитские пруды»,Сергиево-Посадский район,"г. Сергиев Посад, ул. Вифанская, владение 151",МАУ «Городские парки Сергиева Посада»,http://skitskie-prudy.ru,5042127840,[object Object]
Парк культуры и отдыха «Северный очаг»,Пуровский район,г. Тарко-Сале,Муниципальное автономное учреждение культуры «Парк культуры и отдыха «Северный очаг»,,8911027548,[object Object]
Парк культуры и отдыха «Первомайский»,Уфа,"ул. Машиностройтелей, 17",МУП Парк культуры и отдыха «Первомайский»,,0273057990,[object Object]
Сад имени С. Т. Аксакова,Уфа,"ул. Пушкина, 112",МУП «Сад культуры и отдыха имени С.Т.Аксакова»,,0274108976,[object Object]
Хабаровский краевой парк им. Муравьёва-Амурского,Хабаровск,"ул. Шевченко, 15",КГБУК «Хабаровский краевой парк им. Муравьёва-Амурского»,http://muravyovamurskypark.ru,,[object Object]
Парк культуры и отдыха города Узловая,Узловский район,"г. Узловая, ул. 14 Декабря, 2а",«Парк культуры и отдыха» г.Узловая,,,[object Object]
Центральный парк культуры и отдыха им. Ю.А. Гагарина,Челябинск,ул. Коммуны,Муниципальное автономное учреждение «Центральный парк культуры и отдыха им. Ю.А. Гагарина»,http://parkgagarin.ru,,[object Object]
Парк «Сад Победы»,Челябинск,"ул. Героев Танкограда, 79",Муниципальное автономное учреждение «Cад Победы»,http://садпобеды.рф,,[object Object]
Сельский парк «Околица»,Томский район,"с. Зоркальцево, ул. Садовая, 1а",ОГАУК «ЦДСО «Томь»,http://travel-tomsk.ru/index.php?page=okolica,,[object Object]
Зооуголок Детского парка,Городской округ Симферополь,"пр-т Кирова, 51",МБУК «Детский парк»,,,[object Object]
Кинешемский Парк культуры и отдыха имени 35-летия Победы,Кинешма,"ул. Завокзальная, 7",Муниципальное учреждение «Кинешемский Парк культуры и отдыха имени 35-летия Победы»,http://park37.ru,,[object Object]
Детский парк,Городской округ Симферополь,"пр-т Кирова, 51",МБУК «Детский парк»,,,[object Object]
Парк Степанова,Иваново,"ул. Смольная, 3",Муниципальное бюджетное учреждение культуры «Парк культуры и отдыха имени В.Я. Степанова»,,,[object Object]
Парк культуры и отдыха КДЦ «Родина»,Приморско-Ахтарский район,"г. Приморско-Ахтарск, ул. 50 лет Октября, 65/1",МАУК «КДЦ «Родина»,,,[object Object]
Парк «Олимпийский»,Пенза,"ул. Гагарина, 6",Парк «Олимпийский»,http://олимп-парк.рф,,[object Object]
Парк культуры и отдыха,Пермь," ул. М. Рыбалко, 106",МАУК «Парк культуры и отдыха»,,,[object Object]
Парк культуры и отдыха  им. И.В. Бабушкина,Санкт-Петербург,"пр-т Обуховской Обороны, 149",ПКиО им. И. В. Бабушкина,,,[object Object]
Парк культуры и отдыха «Красная Пресня»,Москва,"ул. Мантулинская, 5, стр. 2",ГАУК «Парк культуры и отдыха «Красная Пресня»,,,[object Object]
Парк культуры и отдыха «Таганский»,Москва,"ул. Таганская, 40-42",ГАУК «Парк культуры и отдыха «Таганский»,http://www.parktaganskiy.ru,,[object Object]
Парк культуры и отдыха Бабушкинский,Москва,"ул. Менжинского, 6, стр. 3",ГАУК «Парк культуры и отдыха «Бабушкинский»,http://bapark.ru,,[object Object]
Лианозовский парк культуры и отдыха,Москва,"ул. Угличская, 13, стр. 8",ГАУК «Лианозовский парк культуры и отдыха»,http://liapark.ru,,[object Object]
Парк культуры и отдыха «Сокольники»,Москва,"ул. Сокольнический Вал, 1, стр. 1",ГАУК «Парк культуры и отдыха «Сокольники»,http://park.sokolniki.com,,[object Object]
Парк культуры и отдыха «Кузьминки»,Москва,"ул. Кузьминский парк, 1, стр. 2",ГАУК г. Москвы «Парк культуры и отдыха «Кузьминки»,http://www.park-kuzminki.ru,,[object Object]
Парк культуры и отдыха Фили,Москва,"ул. Большая Филевская, 24",ГАУК «Парк культуры и отдыха «Фили»,http://parkfili.com,,[object Object]
Центральный парк культуры и отдыха имени М. Горького,Москва,"ул. Крымский Вал, 9, стр. 1",ГАУК города Москвы «Центральный парк культуры и отдыха имени М. Горького»,,,[object Object]
Парк культуры и отдыха 850-летия Москвы,Москва,"ул. Марьинский Парк, 10, стр. 4",ГАУК «Парк культуры и отдыха 850-летия Москвы»,http://parkivmaryino.ru/category/850_years,,[object Object]
Парковый комплекс истории техники им. К.Г. Сахарова ,Тольятти,"Южное ш., 137 ",МАУК г.о. Тольятти Парковый комплекс истории техники им. К.Г. Сахарова,http://pkitis.tltsu.ru,,[object Object]
Городской парк культуры и отдыха г. Шарья,Костромская область,"г. Шарья, ул. Ленина, 131",МАУ «Городской парк культуры и отдыха»,,,[object Object]
Туапсинский городской парк культуры и отдыха,Туапсинский район,"г. Туапсе, ул. Пл. Ильича, 2",Муниципальное бюджетное учреждение культуры Туапсинского городского поселения «Туапсинский городской парк культуры и отдыха»,,,[object Object]
Парк культуры и отдыха,Урай,ул. Ленина,МАУ «Культура»,,,[object Object]
Городской парк культуры и отдыха,Сургут,"ул. Студенческая, 6",МАУ «Городской парк культуры и отдыха»,,,[object Object]
Парк имени Максима Горького,Таганрог,"ул. Петровская, 104",МАУ «ЦКДД»,http://park-taganrog.ru,,[object Object]
Парк культуры и отдыха,Первоуральск,"ул. Физкультурников, 2, оф. 1",МУУ «Парк культуры и отдыха»,,,[object Object]
Нижнетагильский городской парк культуры и отдыха им. А. П. Бондина,Нижний Тагил,"ул. Уральская, 20",МБУК «Нижнетагильский городской парк культуры и отдыха им. А.П. Бондина» ,,,[object Object]
Парк культуры и отдыха,Лесной,"ул. Победы, 19",МБУ «Парк культуры и отдыха»,,,[object Object]
Кенозерский национальный парк ,Плесецкий район,д. Вершинино,Министерство культуры Архангельской области,http://kenozero.ru,,[object Object]
Парк «Дубки»,Новокуйбышевск,"ул. Суворова, 51",Муниципальное бюджетное учреждение культуры «Городские парки»,http://gorparki-nsk.wix.com,,[object Object]
Парк культуры и отдыха им. М. Горького,Глазов,"ул. Парковая, 15",МБУК Культурный центр «Россия»,http://www.okc-russia.ru,,[object Object]
Ботанический сад Петра Великого,Санкт-Петербург,"ул. Профессора Попова, 2",ФГБУН «Ботанический институт имени В.Л. Комарова РАН (БИН РАН). Ботанический сад Петра Великого»,http://www.botsad-spb.com,,[object Object]
Усадьба «Воронцово»,Москва,"Воронцовский парк, 3",Усадьба Воронцово,http://usadba-vorontsovo.ru,,[object Object]
Лотошинский парк культуры и отдыха,Лотошинский район,"п. Лотошино, ул. Заводская",«Лотошинский парк культуры и отдыха»,,,[object Object]
Щелковский городской парк культуры и отдыха,Щёлковский район,"г. Щелково, ул. Пушкина, 22",«Щелковский городской парк культуры и отдыха»,http://schelkovopark.ru,,[object Object]
Раменский городской парк культуры и отдыха,Раменский район,"г. Раменское, ул. Первомайская, 2",«Раменский городской парк культуры и отдыха»,,,[object Object]
Городской парк культуры и отдыха г. Павловский Посад,Павлово-Посадский район,"г. Павловский Посад, ул. Кирова, 85",«Городской парк культуры и отдыха г.Павловский Посад»,,,[object Object]
Клинский парк культуры и отдыха,Клинский район,"г. Клин, Тверской пер., 1/11",«Клинский парк культуры и отдыха»,,,[object Object]
Люберецкий городской парк культуры и отдыха,Люберецкий район,"г. Люберцы, Октябрьский пр-т, 226",Люберецкий городской парк культуры и отдыха,http://www.lubpark.ru,,[object Object]
Дмитровский парк культуры и отдыха «Березовая роща»,Дмитровский район,"г. Дмитров, ул. Московская",Дмитровский парк культуры и отдыха «Березовая роща»,http://park-dmitrov.ru,,[object Object]
Парк культуры и отдыха г.п. Малаховка,Люберецкий район,"г.п. Малаховка, Театральный пр-д, 1",«Парк культуры и отдыха п.Малаховка»,http://malpark.ru,,[object Object]
Парк культуры и отдыха г. Долгопрудного,Городской округ город Долгопрудный,"ул. Циолковского, 34",«Парк культуры и отдыха г.Долгопрудного»,,,[object Object]
Бежецкий парк культуры и отдыха,Бежецкий район,"г. Бежецк, ул. Большая, 29-31",Муниципальное автономное учреждение культуры «Парк культуры и отдыха»,,6906009564,[object Object]
Парк аттракционов,Когалым,ул. Дружбы Народо,МАУ «КДК «АРТ-Праздник»,http://metro-kogalym.ru,8608040890,[object Object]
Парк аттракционов «Потешный двор»,Архангельск,"ул. Воскресенская, 3",МАУК «Парк аттракционов «Потешный двор»,http://www.arhpark.ru,2901057253,[object Object]
Реутовский центральный городской парк,Городской округ город Реутов,"Юбилейный пр-т, 23б","МУ ""Молодежный культурно-досуговый центр""",,,[object Object]
Парк «Фабричный пруд»,Городской округ город Реутов,"ул. Гагарина, 33/1","МУ ""Молодежный культурно-досуговый центр""",,,[object Object]
Парк имени Белинского,Пенза,"ул. Карла Маркса, 1",МАУ «Центральный парк культуры и отдыха им. В. Г. Белинского»,http://park-belinsky.ru,5836011886,[object Object]
